Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,45.54,45.90,44.75,44.77,846300,42.64
2009-12-30,44.40,45.58,44.26,45.56,1083900,43.39
2009-12-29,45.00,45.16,44.41,44.82,1075000,42.68
2009-12-28,45.76,46.31,44.42,44.70,1425100,42.57
2009-12-24,44.59,45.94,44.52,45.73,986900,43.55
2009-12-23,42.72,44.41,42.67,44.22,1570900,42.11
2009-12-22,42.94,42.94,41.80,42.56,1694400,40.53
2009-12-21,41.44,43.02,41.40,42.64,2005300,40.61
2009-12-18,41.29,41.50,40.34,40.95,3611700,39.00
2009-12-17,39.25,40.86,38.93,40.20,4088500,38.28
2009-12-16,38.20,38.90,37.89,38.24,1696800,36.25
2009-12-15,37.44,38.55,37.27,38.00,2127500,36.02
2009-12-14,36.69,37.66,36.56,37.60,1711700,35.64
2009-12-11,36.02,36.72,35.74,36.38,1501500,34.48
2009-12-10,35.74,36.02,35.32,35.65,1470400,33.79
2009-12-09,34.44,35.53,34.06,35.42,1679700,33.57
2009-12-08,34.75,35.29,34.31,34.50,1774800,32.70
2009-12-07,35.24,35.74,34.86,35.01,1568800,33.18
2009-12-04,35.77,36.43,34.23,35.18,2144500,33.34
2009-12-03,35.59,35.83,34.75,34.87,1788100,33.05
2009-12-02,35.25,36.20,34.95,35.43,2001500,33.58
2009-12-01,34.72,35.39,34.59,34.82,2348600,33.00
2009-11-30,34.50,34.70,33.72,34.03,1596700,32.25
2009-11-27,33.84,34.49,33.11,34.19,790000,32.41
2009-11-25,35.03,35.45,34.84,35.35,1462300,33.51
2009-11-24,34.72,35.03,34.25,34.93,1687200,33.11
2009-11-23,34.94,35.59,34.46,34.77,1637500,32.96
2009-11-20,32.95,34.07,32.95,34.01,1465400,32.24
2009-11-19,34.14,34.20,32.83,33.84,2299800,32.07
2009-11-18,34.98,35.31,34.37,34.64,1946000,32.83
2009-11-17,34.15,35.01,33.82,34.97,1473100,33.15
2009-11-16,32.79,34.63,32.79,34.35,2729500,32.56
2009-11-13,32.35,33.02,32.05,32.52,1378200,30.82
2009-11-12,32.95,33.38,32.10,32.24,1544100,30.56
2009-11-11,33.62,33.93,33.20,33.37,1647400,31.63
2009-11-10,33.60,33.79,32.45,32.83,2248700,31.12
2009-11-09,33.10,33.91,33.10,33.84,2840600,32.07
2009-11-06,32.05,33.45,32.05,32.58,1533400,30.88
2009-11-05,31.91,32.77,31.63,32.77,1687900,31.06
2009-11-04,32.15,32.58,31.22,31.41,2267500,29.77
2009-11-03,30.62,32.10,30.30,31.50,2586200,29.86
2009-11-02,31.26,32.29,30.60,31.36,3230300,29.72
2009-10-30,31.49,31.74,30.64,30.86,4826200,29.25
2009-10-29,30.54,31.87,30.38,31.64,3769800,29.99
2009-10-28,31.06,31.37,29.62,29.70,2627300,28.15
2009-10-27,32.49,32.58,31.16,31.28,2198700,29.65
2009-10-26,34.29,34.72,32.18,32.27,3403100,30.59
2009-10-23,34.53,35.18,33.77,34.00,1964300,32.23
2009-10-22,34.72,34.99,33.59,34.28,2638600,32.49
2009-10-21,35.10,36.62,34.50,34.81,5967500,32.99
2009-10-20,37.85,38.18,37.09,37.99,2871700,36.01
2009-10-19,37.14,38.00,36.93,37.70,1594600,35.73
2009-10-16,37.31,37.94,36.19,36.87,3353700,34.95
2009-10-15,38.00,39.62,37.65,38.97,3528600,36.94
2009-10-14,36.64,37.63,36.55,37.59,1739300,35.63
2009-10-13,35.68,36.27,35.37,36.07,1282300,34.19
2009-10-12,36.45,37.00,35.65,35.82,1113500,33.95
2009-10-09,35.75,36.54,35.42,36.14,1255500,34.25
2009-10-08,35.99,36.62,35.30,36.05,1729900,34.17
2009-10-07,35.16,35.89,34.83,35.43,1337900,33.58
2009-10-06,35.02,35.85,34.80,35.24,1841900,33.40
2009-10-05,34.04,34.72,33.80,34.63,1955000,32.82
2009-10-02,32.50,34.04,31.80,33.67,2625300,31.91
2009-10-01,34.93,34.93,33.20,33.28,3021700,31.54
2009-09-30,35.51,35.97,34.17,34.99,2380200,33.16
2009-09-29,35.63,36.25,34.96,35.34,2329000,33.50
2009-09-28,34.90,35.84,34.39,35.55,1750600,33.70
2009-09-25,34.29,35.22,34.03,34.42,2964600,32.62
2009-09-24,35.63,35.74,33.82,34.43,2906300,32.63
2009-09-23,35.78,36.95,35.01,35.46,2844100,33.61
2009-09-22,35.36,36.47,35.15,35.77,2211400,33.90
2009-09-21,34.37,35.24,33.61,34.87,1704000,33.05
2009-09-18,35.43,35.46,34.14,34.86,2632300,33.04
2009-09-17,35.62,36.13,34.93,35.25,2714100,33.41
2009-09-16,34.58,35.75,34.42,35.67,2619200,33.64
2009-09-15,33.90,34.60,33.44,34.13,2701800,32.19
2009-09-14,33.08,34.28,32.75,33.72,3152500,31.80
2009-09-11,33.03,34.00,32.98,33.49,2813700,31.58
2009-09-10,31.61,32.81,31.03,32.70,2578200,30.84
2009-09-09,31.63,32.11,30.88,31.67,3305000,29.87
2009-09-08,31.00,32.07,30.81,31.97,4394800,30.15
2009-09-04,29.21,30.33,28.90,29.78,1961500,28.08
2009-09-03,29.10,29.67,28.61,29.21,2487200,27.55
2009-09-02,29.02,29.18,28.06,28.64,2653500,27.01
2009-09-01,30.13,31.34,29.08,29.27,3679900,27.60
2009-08-31,31.20,31.20,30.03,30.37,2520600,28.64
2009-08-28,31.47,32.10,30.75,32.01,4119200,30.19
2009-08-27,28.94,31.25,28.53,30.87,4885500,29.11
2009-08-26,28.38,29.16,28.10,28.49,1977900,26.87
2009-08-25,29.81,30.00,28.25,28.40,2741700,26.78
2009-08-24,29.84,29.91,29.42,29.51,2477000,27.83
2009-08-21,28.70,29.49,28.38,29.25,2835000,27.58
2009-08-20,27.77,28.47,27.17,28.05,2321900,26.45
2009-08-19,26.32,27.50,25.80,27.31,2770800,25.75
2009-08-18,26.31,27.07,26.28,26.91,1981200,25.38
2009-08-17,27.17,27.20,25.94,26.12,3281700,24.63
2009-08-14,29.41,29.49,28.00,28.23,3481900,26.62
2009-08-13,29.70,29.75,28.85,29.34,2327700,27.67
2009-08-12,28.67,29.78,28.57,29.23,2378700,27.57
2009-08-11,29.64,29.70,28.94,28.95,2967600,27.30
2009-08-10,30.47,30.49,29.38,29.86,1937400,28.16
2009-08-07,29.43,31.34,29.38,30.71,3680800,28.96
2009-08-06,28.79,29.48,28.79,29.12,2744700,27.46
2009-08-05,28.08,28.57,27.41,28.46,2477600,26.84
2009-08-04,27.79,27.99,26.76,27.99,3701000,26.40
2009-08-03,27.94,28.41,27.50,28.10,3484300,26.50
2009-07-31,27.51,27.87,26.77,27.08,2366600,25.54
2009-07-30,27.37,28.02,27.00,27.52,2224900,25.95
2009-07-29,27.22,27.23,26.27,26.66,3021600,25.14
2009-07-28,27.76,28.06,27.19,27.50,2480300,25.93
2009-07-27,28.49,28.99,27.50,28.20,2460200,26.59
2009-07-24,28.44,28.98,27.64,28.20,3511800,26.59
2009-07-23,28.83,29.69,28.25,28.59,5079800,26.96
2009-07-22,32.60,32.80,28.05,28.50,9722100,26.88
2009-07-21,35.30,35.70,33.76,34.79,1968400,32.81
2009-07-20,34.35,35.16,33.81,35.02,2520200,33.03
2009-07-17,33.29,34.01,32.61,33.34,2225600,31.44
2009-07-16,33.38,34.15,32.64,33.45,2590400,31.55
2009-07-15,33.74,33.74,32.75,33.50,2864500,31.59
2009-07-14,32.76,32.99,31.37,32.00,2083000,30.18
2009-07-13,30.82,32.03,29.65,32.01,2377700,30.19
2009-07-10,30.00,30.91,29.55,30.72,3041100,28.97
2009-07-09,31.75,31.82,30.07,30.23,4373600,28.51
2009-07-08,32.71,33.47,31.12,32.14,2336400,30.31
2009-07-07,33.05,33.81,32.73,32.83,2766800,30.96
2009-07-06,33.40,33.40,31.70,33.24,2968600,31.35
2009-07-02,34.99,34.99,34.02,34.02,1801700,32.08
2009-07-01,35.19,36.71,35.19,35.72,3220100,33.69
2009-06-30,34.72,35.30,33.82,34.93,3059100,32.94
2009-06-29,34.95,35.04,33.65,34.78,2895600,32.80
2009-06-26,35.13,35.98,34.36,34.55,3638100,32.58
2009-06-25,33.65,35.75,33.25,35.54,2215000,33.52
2009-06-24,34.00,35.35,33.58,34.03,2162000,32.09
2009-06-23,33.44,34.55,32.76,33.88,5362200,31.95
2009-06-22,37.29,37.61,33.55,33.59,3634900,31.68
2009-06-19,38.15,38.62,37.60,38.20,2082400,36.02
2009-06-18,37.09,38.01,36.30,37.29,1828700,35.17
2009-06-17,37.62,37.80,36.20,37.17,2972200,35.05
2009-06-16,39.82,40.87,37.88,38.22,2699700,36.04
2009-06-15,40.61,41.19,39.12,39.43,3275000,37.18
2009-06-12,42.55,42.66,41.36,41.88,1810600,39.49
2009-06-11,42.26,44.09,42.01,43.26,2370300,40.80
2009-06-10,41.91,42.90,41.04,42.25,3184000,39.84
2009-06-09,40.42,42.68,39.98,41.97,2957700,39.58
2009-06-08,40.36,40.36,38.67,39.88,2598000,37.61
2009-06-05,40.83,41.97,40.05,40.91,2989400,38.58
2009-06-04,39.08,40.65,38.45,40.36,2976500,38.06
2009-06-03,39.20,39.90,37.52,38.26,3997800,36.08
2009-06-02,38.39,40.67,37.92,40.24,3961900,37.95
2009-06-01,36.01,39.01,36.01,38.61,3899400,36.41
2009-05-29,34.06,35.50,33.61,35.41,3591500,33.39
2009-05-28,32.60,33.68,31.78,33.46,6211700,31.55
2009-05-27,34.11,34.90,32.15,32.15,4818900,30.32
2009-05-26,33.71,35.95,33.41,35.81,1297900,33.77
2009-05-22,34.53,35.18,34.00,34.35,1036500,32.22
2009-05-21,36.24,36.62,33.64,34.11,2505400,32.00
2009-05-20,36.41,38.54,35.91,36.76,2870100,34.48
2009-05-19,33.84,36.45,33.75,35.71,2081500,33.50
2009-05-18,33.40,33.66,32.43,33.62,2599200,31.54
2009-05-15,34.07,34.19,32.07,32.58,1927400,30.56
2009-05-14,32.92,34.17,32.11,33.50,2749500,31.43
2009-05-13,36.23,36.35,32.45,32.84,3640200,30.81
2009-05-12,38.43,38.59,36.00,37.24,2299400,34.94
2009-05-11,37.34,38.07,36.27,37.62,2285100,35.29
2009-05-08,37.94,40.22,37.03,38.26,2412400,35.89
2009-05-07,39.20,39.50,36.84,37.28,2609300,34.97
2009-05-06,37.45,38.76,37.16,38.06,2819300,35.70
2009-05-05,35.43,37.49,35.10,37.11,2555500,34.81
2009-05-04,34.14,36.13,33.70,36.08,2492800,33.85
2009-05-01,32.39,34.29,32.31,33.40,1795500,31.33
2009-04-30,32.07,33.77,31.62,32.73,2499000,30.70
2009-04-29,30.35,31.86,30.16,31.37,1938600,29.43
